Holdings details

Total World Stock ETF (VT)


Equity,as of 05/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BS2MCW5,Azad Engineering Ltd,AZAD,<0.01%,Industrial Machinery & Supplies & Components,IN,---,"$491,020.26","23,122"
,B3B1C73,Genomma Lab Internacional SAB de CV,LABB,<0.01%,Pharmaceuticals,MX,---,"$490,878.28","532,563"
,6505532,Lapidoth Capital Ltd,LAPD,<0.01%,Oil & Gas Drilling,IL,---,"$490,716.23","17,092"
,BSZM277,Amanat Holdings PJSC,AMANAT,<0.01%,Multi-Sector Holdings,AE,---,"$490,044.39","1,424,927"
,6099905,Aditya Birla Real Estate Ltd,ABREL,<0.01%,Real Estate Operating Companies,IN,---,"$489,736.26","37,433"
,6608334,Synmosa Biopharma Corp,4114,<0.01%,Pharmaceuticals,TW,---,"$489,723.00","509,308"
,6106043,G Shank Enterprise Co Ltd,2476,<0.01%,Industrial Machinery & Supplies & Components,TW,---,"$489,638.69","127,000"
,6162302,Wonik Holdings Co Ltd,030530,<0.01%,Semiconductor Materials & Equipment,KR,---,"$489,601.47","27,179"
,6769402,Sakai Chemical Industry Co Ltd,4078,<0.01%,Diversified Chemicals,JP,---,"$489,498.98","15,800"
,BMQBT81,Tianshan Aluminum Group Co Ltd,002532,<0.01%,Aluminum,CN,---,"$489,268.44","221,300"
,B0YJJ27,KEC International Ltd,KECI,<0.01%,Construction & Engineering,IN,---,"$488,572.00","92,787"
,B407NK9,HANA MICROELECTRONICS-FOREIG,HANA/F,<0.01%,Electronic Manufacturing Services,TH,---,"$488,335.72","429,000"
,6000208,Boubyan Petrochemicals Co KSCP,BPCC,<0.01%,Commodity Chemicals,KW,---,"$488,333.83","229,476"
,B13D251,Voltamp Transformers Ltd,VAMP,<0.01%,Electrical Components & Equipment,IN,---,"$488,195.59","4,883"
,6987668,Yieh Phui Enterprise Co Ltd,2023,<0.01%,Steel,TW,---,"$487,733.55","1,118,617"
,BYW5MX7,Huaan Securities Co Ltd,600909,<0.01%,Investment Banking & Brokerage,CN,---,"$487,185.03","459,600"
,6220738,Samwha Capacitor Co Ltd,001820,<0.01%,Electronic Components,KR,---,"$487,003.01","4,917"
,B56RD66,Sesa SpA,SES,<0.01%,Technology Distributors,IT,---,"$486,668.12","4,305"
,B01TB35,SKAN Group AG,SKAN,<0.01%,Life Sciences Tools & Services,CH,---,"$486,408.10","7,689"
,BP3R4K0,Metallurgical Corp of China Ltd,601618,<0.01%,Construction & Engineering,CN,---,"$486,045.78","1,162,800"
,6141806,Coretronic Corp,5371,<0.01%,Electronic Equipment & Instruments,TW,---,"$485,698.53","210,400"
,BMC0T48,SCG PACKAGING PCL-FOREIGN,SCGP/F,<0.01%,Paper & Plastic Packaging Products & Materials,TH,---,"$485,619.17","670,100"
,B8B8PJ2,Nippon Paper Industries Co Ltd,3863,<0.01%,Paper Products,JP,---,"$485,579.63","61,400"
,BYYMZN7,China Overseas Property Holdings Ltd,2669,<0.01%,Real Estate Services,HK,---,"$485,403.85","1,017,493"
,BSCC0R6,Honasa Consumer Ltd,HONASA,<0.01%,Personal Care Products,IN,---,"$485,320.32","113,498"
,BW4F6F1,RS Technologies Co Ltd,3445,<0.01%,Semiconductors,JP,---,"$485,309.52","10,400"
,6564793,JPC connectivity Inc,6197,<0.01%,"Technology Hardware, Storage & Peripherals",TW,---,"$485,307.38","51,750"
,BD102C5,Aavas Financiers Ltd,AAVAS,<0.01%,Commercial & Residential Mortgage Finance,IN,---,"$485,307.02","34,352"
,6772808,San-Ai Obbli Co Ltd,8097,<0.01%,Oil & Gas Refining & Marketing,JP,---,"$485,266.69","36,400"
,B128J45,IP Group PLC,IPO,<0.01%,Asset Management & Custody Banks,GB,---,"$484,910.81","521,288"
,BLRL853,Century Pacific Food Inc,CNPF,<0.01%,Packaged Foods & Meats,PH,---,"$484,274.28","1,138,800"
,4498065,KSB SE & CO KGAA-VORZUG,KSB3,<0.01%,Industrial Machinery & Supplies & Components,DE,---,"$483,937.65",480
,B2NR3Y6,SJM Holdings Ltd,880,<0.01%,Casinos & Gaming,HK,---,"$483,534.39","1,985,000"
,BD5CP40,Changjiang Securities Co Ltd,000783,<0.01%,Investment Banking & Brokerage,CN,---,"$483,346.95","402,320"
,6716992,Bayer CropScience Ltd/India,BYRCS,<0.01%,Fertilizers & Agricultural Chemicals,IN,---,"$483,243.41","10,168"
,2762085,CIA SANEAMENTO DO PARANA-PRF,SAPR4,<0.01%,Water Utilities,BR,---,"$483,125.15","328,900"
,6693608,Global One Real Estate Investment Corp,8958,<0.01%,Office REITs,JP,---,"$483,032.37",687
,BFB4KH2,Baiyin Nonferrous Group Co Ltd,601212,<0.01%,Diversified Metals & Mining,CN,---,"$483,020.39","518,000"
,6805362,Shochiku Co Ltd,9601,<0.01%,Movies & Entertainment,JP,---,"$482,319.82","7,500"
,BD73MQ2,Shenzhen Click Technology Co Ltd,002782,<0.01%,Electrical Components & Equipment,CN,---,"$482,309.06","117,700"
,BD83164,Hyosung TNC Corp,298020,<0.01%,Commodity Chemicals,KR,---,"$482,220.69","1,998"
,6150493,Youngone Holdings Co Ltd,009970,<0.01%,"Apparel, Accessories & Luxury Goods",KR,---,"$482,199.38","3,801"
,BKS7JS3,Hunan Yuneng New Energy Battery Material Co Ltd,301358,<0.01%,Electrical Components & Equipment,CN,---,"$482,063.93","36,900"
,B3W1335,Guotai Junan International Holdings Ltd,1788,<0.01%,Investment Banking & Brokerage,HK,---,"$481,815.01","1,735,000"
,6899268,T Hasegawa Co Ltd,4958,<0.01%,Specialty Chemicals,JP,---,"$481,805.67","25,000"
,6430162,Anpec Electronics Corp,6138,<0.01%,Semiconductors,TW,---,"$481,360.19","44,000"
,B29NPW0,eClerx Services Ltd,ECLX,<0.01%,Data Processing & Outsourced Services,IN,---,"$480,898.51","30,280"
,B3KHQ81,Wowprime Corp,2727,<0.01%,Restaurants,TW,---,"$480,708.25","64,716"
,B18RC03,Infomart Corp,2492,<0.01%,Data Processing & Outsourced Services,JP,---,"$480,488.99","194,200"
,6468624,Jaccs Co Ltd,8584,<0.01%,Consumer Finance,JP,---,"$479,850.29","21,900"
,B0D6PM1,Ripley Corp SA,RIPLEY,<0.01%,Broadline Retail,CL,---,"$479,355.53","1,109,496"
,B0LD0L8,Inversiones Aguas Metropolitanas SA,IAM,<0.01%,Water Utilities,CL,---,"$479,030.08","446,446"
,BSB8C80,We Buy Cars Holdings Ltd,WBC,<0.01%,Automotive Retail,ZA,---,"$478,942.83","221,191"
,B056392,Thunder Tiger Corp,8033,<0.01%,Leisure Products,TW,---,"$478,802.85","105,000"
,6196077,Lao Feng Xiang Co Ltd,900905,<0.01%,"Apparel, Accessories & Luxury Goods",CN,---,"$478,174.26","161,010"
,B00W4D6,Grand Pharmaceutical Group Ltd,512,<0.01%,Pharmaceuticals,HK,---,"$477,964.95","715,080"
,B12B5X5,RAK Properties PJSC,RAKPROP,<0.01%,Real Estate Development,AE,---,"$477,868.85","1,768,663"
,BV1D9W9,Mixue Group,2097,<0.01%,Restaurants,HK,---,"$477,845.67","14,200"
,6589729,Nihon Dengi Co Ltd,1723,<0.01%,Building Products,JP,---,"$477,521.22","31,080"
,BP3RJS3,Haohua Chemical Science & Technology Co Ltd,600378,<0.01%,Specialty Chemicals,CN,---,"$477,080.31","83,300"
,BZ30KS9,Boozt AB,BOOZT,<0.01%,Broadline Retail,SE,---,"$476,552.91","34,648"
,B133NZ8,Saudi Pharmaceutical Industries & Medical Appliances Corp,SPIMACO,<0.01%,Pharmaceuticals,SA,---,"$476,395.57","62,509"
,BMGJRL4,Paradeep Phosphates Ltd,PARADEEP,<0.01%,Fertilizers & Agricultural Chemicals,IN,---,"$475,957.99","359,246"
,6507118,Sun Corp,6736,<0.01%,"Technology Hardware, Storage & Peripherals",JP,---,"$475,829.30","8,200"
,BSM67Y4,CARABAO GROUP PCL-F,CBG/F,<0.01%,Soft Drinks & Non-alcoholic Beverages,TH,---,"$475,193.13","384,700"
,BN49BC2,UIE PLC,UIE,<0.01%,Agricultural Products & Services,DK,---,"$474,845.03","8,388"
,6413129,Tilaknagar Industries Ltd,TLNGR,<0.01%,Distillers & Vintners,IN,---,"$474,479.35","98,969"
,6076447,Bank of Saga Ltd/The,8395,<0.01%,Regional Banks,JP,---,"$474,429.15","14,500"
,BMF7P26,Jinan Shengquan Group Share Holding Co Ltd,605589,<0.01%,Commodity Chemicals,CN,---,"$474,219.31","69,200"
,BP4DC81,Arabian Contracting Services Co,ALARABIA,<0.01%,Advertising,SA,---,"$474,171.29","18,827"
,B5N4QN8,Pola Orbis Holdings Inc,4927,<0.01%,Personal Care Products,JP,---,"$473,890.44","58,600"
,6554675,SUPALAI PUBLIC CO LTD-FOR,SPALI/F,<0.01%,Real Estate Development,TH,---,"$473,805.65","995,800"
,BPDWS69,CECEP Environmental Protection Co Ltd,300140,<0.01%,Industrial Machinery & Supplies & Components,CN,---,"$473,688.48","533,300"
,6328933,Hannstar Board Corp,5469,<0.01%,Electronic Components,TW,---,"$473,648.58","175,334"
,BD73L32,Zhejiang Yinlun Machinery Co Ltd,002126,<0.01%,Automotive Parts & Equipment,CN,---,"$473,626.01","64,200"
,BYXKYT1,Eris Lifesciences Ltd,ERIS,<0.01%,Pharmaceuticals,IN,---,"$473,284.68","32,157"
,BZ1B0D9,Mirai Corp,3476,<0.01%,Diversified REITs,JP,---,"$473,005.55","1,716"
,B3V9P01,S&S Tech Corp,101490,<0.01%,Semiconductor Materials & Equipment,KR,---,"$472,860.54","10,826"
,BP3R5C9,Beijing Tong Ren Tang Co Ltd,600085,<0.01%,Pharmaceuticals,CN,---,"$472,371.95","124,661"
,B010DG5,Fras-Le SA,FRAS3,<0.01%,Automotive Parts & Equipment,BR,---,"$472,313.53","109,294"
,6894627,Toho Titanium Co Ltd,5727,<0.01%,Diversified Metals & Mining,JP,---,"$472,028.85","26,900"
,B03MXD6,Sasa Polyester Sanayi AS,SASA,<0.01%,Commodity Chemicals,TR,---,"$471,960.74","8,232,788"
,BD5CG92,Inner Mongolia Dian Tou Energy Corp Ltd,002128,<0.01%,Coal & Consumable Fuels,CN,---,"$471,933.43","103,100"
,B03MPX0,Ral Yatirim Holding AS,RALYH,<0.01%,Construction & Engineering,TR,---,"$471,644.62","87,003"
,6641049,Nisshin Oillio Group Ltd/The,2602,<0.01%,Packaged Foods & Meats,JP,---,"$471,643.10","42,900"
,B1LJ5C9,Century Iron & Steel Industrial Co Ltd,9958,<0.01%,Steel,TW,---,"$471,618.85","143,000"
,B03MRG7,Dogan Sirketler Grubu Holding AS,DOHOL,<0.01%,Automotive Retail,TR,---,"$471,439.85","935,761"
,BFYZ6V8,Zensar Technologies Ltd,ZENT,<0.01%,IT Consulting & Other Services,IN,---,"$471,327.03","90,498"
,6200202,Asiana Airlines Inc,020560,<0.01%,Passenger Airlines,KR,---,"$471,300.26","97,095"
,BRCJMQ3,Episil Technologies Inc,3707,<0.01%,Semiconductors,TW,---,"$470,948.68","167,334"
,6372167,Giant Manufacturing Co Ltd,9921,<0.01%,Leisure Products,TW,---,"$470,785.21","213,170"
,6910965,Uchida Yoko Co Ltd,8057,<0.01%,IT Consulting & Other Services,JP,---,"$470,598.89","37,000"
,6570596,Matsuda Sangyo Co Ltd,7456,<0.01%,Environmental & Facilities Services,JP,---,"$470,421.03","11,600"
,B92RW83,LT Group Inc,LTG,<0.01%,Industrial Conglomerates,PH,---,"$469,514.28","1,831,100"
,BF2LSQ7,Lemon Tree Hotels Ltd,LEMONTRE,<0.01%,"Hotels, Resorts & Cruise Lines",IN,---,"$469,498.65","391,721"
,6342836,Astral Foods Ltd,ARL,<0.01%,Packaged Foods & Meats,ZA,---,"$469,039.44","30,721"
,B00G1Q0,McMillan Shakespeare Ltd,MMS,<0.01%,Human Resource & Employment Services,AU,---,"$468,757.71","35,729"
,B4KN6D1,LIFENET INSURANCE CO,7157,<0.01%,Life & Health Insurance,JP,---,"$468,414.16","43,700"
,BZ3C814,Nan Pao Resins Chemical Co Ltd,4766,<0.01%,Specialty Chemicals,TW,---,"$468,391.75","41,000"
,BGQYC45,CTT-Correios de Portugal SA,CTT,<0.01%,Air Freight & Logistics,PT,---,"$468,056.44","66,182"
,BD5CFQ2,Shandong Himile Mechanical Science & Technology Co Ltd,002595,<0.01%,Industrial Machinery & Supplies & Components,CN,---,"$467,609.77","60,465"
,B2RCGV5,Turk Telekomunikasyon AS,TTKOM,<0.01%,Integrated Telecommunication Services,TR,---,"$467,406.70","352,454"
,6481643,Kaken Pharmaceutical Co Ltd,4521,<0.01%,Pharmaceuticals,JP,---,"$467,063.86","18,700"
,6357603,Furukawa Co Ltd,5715,<0.01%,Industrial Machinery & Supplies & Components,JP,---,"$466,951.59","18,700"
,B0N6YC4,Turkiye Vakiflar Bankasi TAO,VAKBN,<0.01%,Diversified Banks,TR,---,"$466,887.79","709,349"
,6598424,Leopalace21 Corp,8848,<0.01%,Real Estate Operating Companies,JP,---,"$466,806.62","119,400"
,6804143,Shikoku Bank Ltd/The,8387,<0.01%,Regional Banks,JP,---,"$466,677.72","27,000"
,BYZ6D56,IRB-Brasil Resseguros SA,IRBR3,<0.01%,Reinsurance,BR,---,"$466,661.09","45,622"
,6616348,SK Securities Co Ltd,001510,<0.01%,Investment Banking & Brokerage,KR,---,"$466,177.73","215,633"
,6689953,Indian Overseas Bank,IOB,<0.01%,Diversified Banks,IN,---,"$466,060.73","1,325,185"
,BD97P41,X-Fab Silicon Foundries SE,XFAB,<0.01%,Semiconductors,FR,---,"$466,045.17","37,322"
,BD5LYD9,Hubei Dinglong Co Ltd,300054,<0.01%,Specialty Chemicals,CN,---,"$465,767.73","46,900"
,BT8R5C2,Clobot Co Ltd,466100,<0.01%,IT Consulting & Other Services,KR,---,"$465,539.93","15,655"
,B5720R0,EcoRodovias Infraestrutura e Logistica SA,ECOR3,<0.01%,Highways & Railtracks,BR,---,"$465,353.72","311,753"
,BP6G9P4,ZJLD Group Inc,6979,<0.01%,Distillers & Vintners,HK,---,"$465,183.70","501,000"
,6897444,Totetsu Kogyo Co Ltd,1835,<0.01%,Construction & Engineering,JP,---,"$465,107.94","17,400"
,BD0MXB8,Enerjisa Enerji AS,ENJSA,<0.01%,Electric Utilities,TR,---,"$465,053.26","196,850"
,BKTPCJ8,Vivara Participacoes SA,VIVA3,<0.01%,"Apparel, Accessories & Luxury Goods",BR,---,"$464,980.23","107,400"
,BTG0DY1,Distribuidora Internacional de Alimentacion SA,DIA,<0.01%,Consumer Staples Merchandise Retail,ES,---,"$464,762.21","10,022"
,6430065,Hochiki Corp,6745,<0.01%,Electronic Equipment & Instruments,JP,---,"$464,720.38","37,500"
,6175582,Stella Chemifa Corp,4109,<0.01%,Diversified Chemicals,JP,---,"$464,710.09","10,600"
,6419600,Heiwa Real Estate Co Ltd,8803,<0.01%,Diversified Real Estate Activities,JP,---,"$464,504.56","31,800"
,BSSB765,Nazara Technologies Ltd,NAZARA,<0.01%,Interactive Home Entertainment,IN,---,"$464,226.09","158,792"
,BP3R336,Poly Developments and Holdings Group Co Ltd,600048,<0.01%,Real Estate Development,CN,---,"$463,903.81","544,099"
,BKP5JH9,Angelalign Technology Inc,6699,<0.01%,Health Care Equipment,HK,---,"$463,546.39","51,553"
,BLD4919,Maas Group Holdings Ltd,MGH,<0.01%,Construction & Engineering,AU,---,"$463,488.13","125,697"
,6313627,Ratnamani Metals & Tubes Ltd,RMT,<0.01%,Steel,IN,---,"$463,261.77","17,242"
,6251200,Daishin Securities Co Ltd,003540,<0.01%,Investment Banking & Brokerage,KR,---,"$462,914.86","22,722"
,BNTXRP4,Loongson Technology Corp Ltd,688047,<0.01%,Semiconductors,CN,---,"$462,590.04","21,449"
,BFCCQN3,Zhejiang Jiemei Electronic & Technology Co Ltd,002859,<0.01%,Paper & Plastic Packaging Products & Materials,CN,---,"$462,396.56","45,200"
,6596989,Mitsuboshi Belting Ltd,5192,<0.01%,Industrial Machinery & Supplies & Components,JP,---,"$462,195.35","18,700"
,BP7RRL8,Al Hammadi Holding,ALHAMMAD,<0.01%,Health Care Facilities,SA,---,"$462,179.22","65,599"
,BD5CJK4,Yunnan Copper Co Ltd,000878,<0.01%,Copper,CN,---,"$462,138.25","176,200"
,6576323,Meisei Industrial Co Ltd,1976,<0.01%,Construction & Engineering,JP,---,"$461,961.67","42,400"
,6773737,Eco World Development Group Bhd,ECW,<0.01%,Real Estate Development,MY,---,"$461,934.34","855,400"
,6900955,Transcosmos Inc,9715,<0.01%,Data Processing & Outsourced Services,JP,---,"$461,732.56","18,900"
,B7TN3J8,Heimar HF,HEIMAR,<0.01%,Real Estate Operating Companies,IS,---,"$461,628.82","1,613,109"
,6121563,Chennai Petroleum Corp Ltd,MRL,<0.01%,Oil & Gas Refining & Marketing,IN,---,"$461,556.99","41,434"
,6042675,Happinet Corp,7552,<0.01%,Distributors,JP,---,"$461,555.45","26,500"
,B4PKZG3,Stolt-Nielsen Ltd,SNI,<0.01%,Marine Transportation,NO,---,"$461,505.27","14,528"
,BP3R5L8,Jinduicheng Molybdenum Co Ltd,601958,<0.01%,Diversified Metals & Mining,CN,---,"$461,495.31","128,979"
,6574037,Systex Corp,6214,<0.01%,IT Consulting & Other Services,TW,---,"$461,312.53","111,000"
,BD6QWQ2,Henan Shenhuo Coal Industry & Electricity Power Co Ltd,000933,<0.01%,Diversified Metals & Mining,CN,---,"$460,455.44","107,100"
,6648783,Noritsu Koki Co Ltd,7744,<0.01%,Leisure Products,JP,---,"$460,119.39","34,500"
,BLFDQC4,Asana Inc,ASAN,<0.01%,Application Software,US,---,"$459,905.60","59,728"
,BP3R927,Shanghai Zhangjiang High-Tech Park Development Co Ltd,600895,<0.01%,Diversified Real Estate Activities,CN,---,"$459,860.96","89,600"
,B03VZ37,Mitra Adiperkasa Tbk PT,MAPI,<0.01%,Broadline Retail,ID,---,"$459,752.69","5,496,000"
,BYPKSR5,Itoham Yonekyu Holdings Inc,2296,<0.01%,Packaged Foods & Meats,JP,---,"$459,487.11","14,914"
,6471439,JAFCO Group Co ltd,8595,<0.01%,Asset Management & Custody Banks,JP,---,"$458,684.42","32,400"
,BP3R886,Fiberhome Telecommunication Technologies Co Ltd,600498,<0.01%,Communications Equipment,CN,---,"$458,330.18","59,800"
,BNRKTL7,Lunit Inc,328130,<0.01%,Health Care Technology,KR,---,"$458,052.94","41,194"
,BMCZBW5,Guolian Minsheng Securities Co Ltd,601456,<0.01%,Investment Banking & Brokerage,CN,---,"$457,857.60","356,500"
,B3B53V6,Ajman Bank PJSC,AJMANBAN,<0.01%,Diversified Banks,AE,---,"$457,332.03","1,179,149"
,4433839,Interparfums SA,ITP,<0.01%,Personal Care Products,FR,---,"$457,323.78","15,799"
,6602745,Morita Holdings Corp,6455,<0.01%,Construction Machinery & Heavy Transportation Equipment,JP,---,"$457,209.57","29,600"
,BK71FH7,Raytron Technology Co Ltd,688002,<0.01%,Electronic Equipment & Instruments,CN,---,"$457,190.34","24,205"
,6738929,Ridley Corp Ltd,RIC,<0.01%,Agricultural Products & Services,AU,---,"$457,135.12","225,778"
,BP3R4T9,Huayu Automotive Systems Co Ltd,600741,<0.01%,Automotive Parts & Equipment,CN,---,"$456,989.15","185,100"
,BRXGHQ8,CP AXTRA PCL-FOREIGN,CPAXT/F,<0.01%,Food Retail,TH,---,"$456,833.87","981,060"
,BZ05RT7,Italmobiliare SpA,ITM,<0.01%,Industrial Conglomerates,IT,---,"$456,791.43","13,795"
,B0LLJ37,Hankyu Hanshin REIT Inc,8977,<0.01%,Diversified REITs,JP,---,"$456,332.43",505
,B01G0P1,Dah Sing Banking Group Ltd,2356,<0.01%,Diversified Banks,HK,---,"$455,928.71","265,537"
,5499238,Pfeiffer Vacuum Technology AG,PFV,<0.01%,Industrial Machinery & Supplies & Components,DE,---,"$455,913.82","2,351"
,BD5CL86,Bluefocus Intelligent Communications Group Co Ltd,300058,<0.01%,Advertising,CN,---,"$455,622.24","184,600"
,BVLJHR8,ELECTROLUX AB-RTS,ELUXTRB,<0.01%,Household Appliances,SE,---,"$455,579.38","340,600"
,BYQ32R1,Nemak SAB de CV,NEMAKA,<0.01%,Automotive Parts & Equipment,MX,---,"$455,242.36","2,281,080"
,BYW5KK0,Holding Co ADMIE IPTO SA,ADMIE,<0.01%,Electric Utilities,GR,---,"$454,236.07","98,417"
,BTL0Y76,Catapult Sports Ltd,CAT,<0.01%,Application Software,AU,---,"$453,628.21","186,382"
,BL8VWV6,TTW PCL - FOREIGN SHARES,TTW/F,<0.01%,Water Utilities,TH,---,"$453,107.09","1,585,300"
,BSY23F3,United Nova Technology Co Ltd,688469,<0.01%,Semiconductors,CN,---,"$452,609.90","379,697"
,B7WJ188,Bumitama Agri Ltd,BAL,<0.01%,Agricultural Products & Services,SG,---,"$452,266.84","373,000"
,6427692,Gemtek Technology Corp,4906,<0.01%,Communications Equipment,TW,---,"$451,948.26","287,000"
,6262020,Delta Galil Ltd,DELG,<0.01%,"Apparel, Accessories & Luxury Goods",IL,---,"$451,659.11","8,123"
,BD5C9N7,Zhejiang Crystal-Optech Co Ltd,002273,<0.01%,Electronic Components,CN,---,"$451,458.56","77,500"
,6355180,Zacros Corp,7917,<0.01%,Commodity Chemicals,JP,---,"$451,404.36","56,800"
,BTCHBL9,Chime Financial Inc,CHYM,<0.01%,Transaction & Payment Processing Services,US,---,"$451,105.80","24,253"
,BMF7PQ0,ACM Research Shanghai Inc,688082,<0.01%,Semiconductor Materials & Equipment,CN,---,"$450,832.99","13,316"
,BP3RC62,Wolong Electric Group Co Ltd,600580,<0.01%,Electrical Components & Equipment,CN,---,"$449,598.90","77,040"
,BNXJB67,HBX Group International PLC,HBX,<0.01%,"Hotels, Resorts & Cruise Lines",ES,---,"$449,550.57","54,395"
,6871277,Taki Chemical Co Ltd,4025,<0.01%,Fertilizers & Agricultural Chemicals,JP,---,"$449,124.89","14,300"
,B97SH97,PeptiDream Inc,4587,<0.01%,Biotechnology,JP,---,"$448,425.25","64,600"
,BFMKZ63,Tongguan Gold Group Ltd,340,<0.01%,Gold,HK,---,"$448,058.03","1,628,000"
,BNR4MR6,Anker Innovations Technology Co Ltd,300866,<0.01%,"Technology Hardware, Storage & Peripherals",CN,---,"$448,029.33","24,120"
,BYW5QJ1,YTO Express Group Co Ltd,600233,<0.01%,Air Freight & Logistics,CN,---,"$448,023.02","161,700"
,5709948,GFT Technologies SE,GFT,<0.01%,IT Consulting & Other Services,DE,---,"$447,785.44","17,423"
,6101639,Gujarat Mineral Development Corp Ltd,GMDC,<0.01%,Coal & Consumable Fuels,IN,---,"$447,657.83","63,498"
,BKRWS93,Cementir Holding NV,CEM,<0.01%,Construction Materials,IT,---,"$447,646.88","26,273"
,6753591,Yellow Hat Ltd,9882,<0.01%,Automotive Retail,JP,---,"$447,636.56","43,100"
,B16NQ89,CIE Automotive India Ltd,CIEINDIA,<0.01%,Automotive Parts & Equipment,IN,---,"$447,474.63","95,269"
,BL4P3T7,Citic Pacific Special Steel Group Co Ltd,000708,<0.01%,Steel,CN,---,"$447,421.72","214,110"
,B3Y50F6,SJVN Ltd,SJVN,<0.01%,Electric Utilities,IN,---,"$447,419.07","565,702"
,6470351,Japan Aviation Electronics Industry Ltd,6807,<0.01%,Electronic Components,JP,---,"$446,955.49","28,200"
,6250296,Enplas Corp,6961,<0.01%,Electronic Components,JP,---,"$446,617.50","5,900"
,BR0W1D4,Orbbec Inc,688322,<0.01%,Electronic Equipment & Instruments,CN,---,"$446,603.62","27,117"
,BP95GD5,Brookfield Asset Management Ltd,BAM,<0.01%,Asset Management & Custody Banks,US,---,"$446,585.40","9,189"
,BYZQHX2,QT Group Oyj,QTCOM,<0.01%,Application Software,FI,---,"$446,165.99","12,989"
,6374798,Engineers India Ltd,ENGR,<0.01%,Construction & Engineering,IN,---,"$445,436.51","182,406"
,BL1N1S9,Sumitomo Chemical India Ltd,SUMICHEM,<0.01%,Fertilizers & Agricultural Chemicals,IN,---,"$445,407.35","84,403"
,B1CSBH2,EIH Ltd,EIH,<0.01%,"Hotels, Resorts & Cruise Lines",IN,---,"$445,388.13","142,878"
,6467825,Itochu Enex Co Ltd,8133,<0.01%,Oil & Gas Refining & Marketing,JP,---,"$445,328.21","36,300"
,6548753,ITE Technology Inc,3014,<0.01%,Semiconductors,TW,---,"$445,250.22","91,000"
,BYNJJY8,COFCO Joycome Foods Ltd,1610,<0.01%,Packaged Foods & Meats,HK,---,"$445,249.17","2,983,000"
,BNR4NP1,Shenzhen Transsion Holdings Co Ltd,688036,<0.01%,"Technology Hardware, Storage & Peripherals",CN,---,"$445,102.84","50,144"
,6895879,Tokyo Steel Manufacturing Co Ltd,5423,<0.01%,Steel,JP,---,"$445,091.01","40,400"
,6906931,Tsurumi Manufacturing Co Ltd,6351,<0.01%,Industrial Machinery & Supplies & Components,JP,---,"$444,624.04","33,500"
,6671596,KOREA INVESTMENT HOLD-PREF,071055,<0.01%,Investment Banking & Brokerage,KR,---,"$444,418.43","4,038"
,BP3R789,Zhejiang China Commodities City Group Co Ltd,600415,<0.01%,Distributors,CN,---,"$444,396.51","235,400"
,BK1VC94,China Tobacco International HK Co Ltd,6055,<0.01%,Distributors,HK,---,"$444,202.99","141,000"
,BD5CPF1,Jiangsu Yanghe Distillery Co Ltd,002304,<0.01%,Distillers & Vintners,CN,---,"$443,880.26","66,195"
,7018556,Navigator Co SA/The,NVG,<0.01%,Paper Products,PT,---,"$443,670.49","112,017"
,BNHPNX2,Circuit Fabology Microelectronics Equipment Co Ltd,688630,<0.01%,Semiconductor Materials & Equipment,CN,---,"$443,525.18","8,958"
,BNHNC51,Dosilicon Co Ltd,688110,<0.01%,Semiconductors,CN,---,"$442,126.10","21,075"
,B0HZGR6,Starhill Global REIT,SGREIT,<0.01%,Retail REITs,SG,---,"$442,022.03","1,044,000"
,6986728,Yokowo Co Ltd,6800,<0.01%,Electronic Components,JP,---,"$441,337.49","13,495"
,BLC7YH0,Shenzhen Han's CNC Technology Co Ltd,301200,<0.01%,Industrial Machinery & Supplies & Components,CN,---,"$440,907.27","10,700"
,6900096,Totech Corp,9960,<0.01%,Trading Companies & Distributors,JP,---,"$440,887.04","18,800"
,B1HKJZ7,Formosa Sumco Technology Corp,3532,<0.01%,Semiconductor Materials & Equipment,TW,---,"$440,552.20","44,000"
,6870898,Daio Paper Corp,3880,<0.01%,Paper Products,JP,---,"$440,445.67","74,000"
,B45G0N3,SIAM GLOBAL HOUSE PCL-FOREIG,GLOBAL/F,<0.01%,Home Improvement Retail,TH,---,"$440,307.84","1,938,841"
,6290355,Wah Lee Industrial Corp,3010,<0.01%,Technology Distributors,TW,---,"$440,195.26","100,260"
,6890302,Agility Public Warehousing Co KSCC,MKHZN,<0.01%,Air Freight & Logistics,KW,---,"$440,191.37","1,021,230"
,B01S2L7,Monex Group Inc,8698,<0.01%,Investment Banking & Brokerage,JP,---,"$439,985.11","107,900"
,BPH27W4,Sichuan Biokin Pharmaceutical Co Ltd,688506,<0.01%,Pharmaceuticals,CN,---,"$439,804.02","12,480"
,BRJ9MM2,Schott Pharma AG & Co KGaA,1SXP,<0.01%,Life Sciences Tools & Services,DE,---,"$439,762.85","20,796"
,BLP5GX1,Navient Corp,NAVI,<0.01%,Consumer Finance,US,---,"$439,598.80","51,355"
,B291KM9,Edelweiss Financial Services Ltd,EDEL,<0.01%,Asset Management & Custody Banks,IN,---,"$439,572.19","370,357"
,BLB04V4,Space42 PLC,SPACE42,<0.01%,Alternative Carriers,AE,---,"$439,532.55","907,992"
