Holdings details

Total World Stock ETF (VT)


Equity,as of 05/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,7108899,ABB Ltd,ABBN,0.14%,Electrical Components & Equipment,CH,---,"$135,569,522.23","1,267,866"
,BL9XPM3,Arista Networks Inc,ANET,0.14%,Communications Equipment,US,---,"$133,870,599.84","839,472"
,B15C557,TotalEnergies SE,TTE,0.13%,Integrated Oil & Gas,FR,---,"$129,893,578.53","1,480,390"
,BMZBBT7,Blackrock Inc,BLK,0.13%,Asset Management & Custody Banks,US,---,"$129,455,087.04","123,658"
,B8KQN82,Eaton Corp PLC,ETN,0.13%,Electrical Components & Equipment,US,---,"$127,703,668.60","318,781"
,2914734,Union Pacific Corp,UNP,0.13%,Rail Transportation,US,---,"$127,151,903.20","484,130"
,B63H849,Rolls-Royce Holdings PLC,RR/,0.13%,Aerospace & Defense,GB,---,"$124,310,251.98","6,909,267"
,2020459,Honeywell International Inc,HON,0.13%,Industrial Conglomerates,US,---,"$122,540,001.22","515,177"
,2871301,Intuitive Surgical Inc,ISRG,0.13%,Health Care Equipment,US,---,"$121,864,036.48","286,982"
,6895675,Tokyo Electron Ltd,8035,0.12%,Semiconductor Materials & Equipment,JP,---,"$120,868,950.97","360,400"
,B288C92,Iberdrola SA,IBE,0.12%,Electric Utilities,ES,---,"$120,527,873.35","5,309,170"
,2684703,Pfizer Inc,PFE,0.12%,Pharmaceuticals,US,---,"$120,501,801.42","4,602,819"
,2002305,Abbott Laboratories,ABT,0.12%,Health Care Equipment,US,---,"$120,379,536.80","1,406,303"
,6260734,Delta Electronics Inc,2308,0.12%,Electronic Components,TW,---,"$120,265,436.86","1,567,461"
,BRJL176,UBS Group AG,UBSG,0.12%,Diversified Capital Markets,CH,---,"$120,033,268.05","2,541,686"
,BMV3LG4,AppLovin Corp,APP,0.12%,Application Software,US,---,"$119,043,685.30","194,170"
,BX865C7,Shopify Inc,SHOP,0.12%,Internet Services & Infrastructure,CA,---,"$118,937,245.72","997,341"
,BP6KMJ1,Novo Nordisk A/S,NOVOB,0.12%,Pharmaceuticals,DK,---,"$118,709,538.15","2,597,860"
,2779397,Charles Schwab Corp/The,SCHW,0.12%,Investment Banking & Brokerage,US,---,"$118,499,359.40","1,356,604"
,BK6N347,Uber Technologies Inc,UBER,0.12%,Passenger Ground Transportation,US,---,"$115,271,270.40","1,637,376"
,2224701,Corning Inc,GLW,0.12%,Electronic Components,US,---,"$115,066,672.56","635,166"
,BMTVQK9,Siemens Energy AG,ENR,0.12%,Heavy Electrical Equipment,DE,---,"$114,748,699.53","606,129"
,BYVYHH4,Welltower Inc,WELL,0.12%,Health Care REITs,US,---,"$114,670,850.43","558,471"
,2685717,ConocoPhillips,COP,0.12%,Oil & Gas Exploration & Production,US,---,"$114,505,675.76","1,004,612"
,6429104,Hitachi Ltd,6501,0.12%,Industrial Conglomerates,JP,---,"$114,285,782.94","3,530,660"
,4061412,LVMH Moet Hennessy Louis Vuitton SE,MC,0.12%,"Apparel, Accessories & Luxury Goods",FR,---,"$113,489,509.77","207,496"
,BDRXDB4,Booking Holdings Inc,BKNG,0.11%,"Hotels, Resorts & Cruise Lines",US,---,"$110,581,320.09","660,463"
,6563024,Sumitomo Mitsui Financial Group Inc,8316,0.11%,Diversified Banks,JP,---,"$108,351,560.15","2,970,744"
,5501906,Banco Bilbao Vizcaya Argentaria SA,BBVA,0.11%,Diversified Banks,ES,---,"$107,814,113.36","4,615,991"
,B44WZD7,Prologis Inc,PLD,0.11%,Industrial REITs,US,---,"$107,586,861.77","749,891"
,2261203,Deere & Co,DE,0.11%,Agricultural & Farm Machinery,US,---,"$107,550,620.06","198,367"
,BHKD3S6,Dell Technologies Inc,DELL,0.11%,"Technology Hardware, Storage & Peripherals",US,---,"$107,191,466.06","254,666"
,B80NXX8,ServiceNow Inc,NOW,0.11%,Systems Software,US,---,"$106,139,223.55","853,415"
,BYMXPS7,UniCredit SpA,UCG,0.11%,Diversified Banks,IT,---,"$106,014,862.80","1,228,318"
,0287580,British American Tobacco PLC,BATS,0.11%,Tobacco,GB,---,"$105,744,584.65","1,708,960"
,6821506,Sony Group Corp,6758,0.11%,Consumer Electronics,JP,---,"$105,650,787.96","4,898,000"
,BYV2325,S&P Global Inc,SPGI,0.11%,Financial Exchanges & Data,US,---,"$104,285,344.00","245,956"
,5889505,Infineon Technologies AG,IFX,0.11%,Semiconductors,DE,---,"$101,696,713.70","1,072,575"
,B058TZ6,Safran SA,SAF,0.10%,Aerospace & Defense,FR,---,"$100,654,857.71","283,015"
,4012250,Airbus SE,AIR,0.10%,Aerospace & Defense,FR,---,"$99,348,466.39","475,745"
,BVZK7T9,Unilever PLC,ULVR,0.10%,Personal Care Products,GB,---,"$98,013,031.49","1,739,314"
,BL3LWS8,Vertiv Holdings Co,VRT,0.10%,Electrical Components & Equipment,US,---,"$97,871,994.26","310,006"
,2536763,Lowe's Cos Inc,LOW,0.10%,Home Improvement Retail,US,---,"$97,516,865.56","454,921"
,6870490,Advantest Corp,6857,0.10%,Semiconductor Materials & Equipment,JP,---,"$96,634,947.46","591,056"
,2466149,Enbridge Inc,ENB,0.10%,Oil & Gas Storage & Transportation,CA,---,"$96,435,472.32","1,757,678"
,2692632,Altria Group Inc,MO,0.10%,Tobacco,US,---,"$95,177,716.62","1,367,889"
,2126335,Bristol-Myers Squibb Co,BMY,0.10%,Pharmaceuticals,US,---,"$94,643,135.22","1,655,179"
,2654461,Capital One Financial Corp,COF,0.10%,Consumer Finance,US,---,"$94,209,309.00","501,300"
,B4BNMY3,Accenture PLC,ACN,0.10%,IT Consulting & Other Services,US,---,"$93,535,000.00","500,000"
,2076009,Bank of Montreal,BMO,0.10%,Diversified Banks,CA,---,"$93,349,565.02","574,717"
,5842359,Deutsche Telekom AG,DTE,0.10%,Integrated Telecommunication Services,DE,---,"$93,312,156.37","2,779,209"
,2250870,Danaher Corp,DHR,0.10%,Life Sciences Tools & Services,US,---,"$93,085,161.27","509,581"
,2577609,CVS Health Corp,CVS,0.10%,Health Care Services,US,---,"$92,675,048.38","1,018,631"
,2931034,Vertex Pharmaceuticals Inc,VRTX,0.10%,Biotechnology,US,---,"$92,628,696.42","206,973"
,BCRWZ18,Cie Financiere Richemont SA,CFR,0.10%,"Apparel, Accessories & Luxury Goods",CH,---,"$92,439,898.02","430,516"
,B3BQMF6,Chubb Ltd,CB,0.09%,Property & Casualty Insurance,US,---,"$91,853,426.61","294,657"
,2842255,Starbucks Corp,SBUX,0.09%,Restaurants,US,---,"$91,680,162.88","924,568"
,6438564,Hon Hai Precision Industry Co Ltd,2317,0.09%,Electronic Manufacturing Services,TW,---,"$90,501,936.02","9,886,820"
,2705024,Progressive Corp/The,PGR,0.09%,Property & Casualty Insurance,US,---,"$90,453,899.20","475,073"
,0798059,BP PLC,BP/,0.09%,Integrated Oil & Gas,GB,---,"$89,824,645.10","12,716,797"
,B4TX8S1,AIA Group Ltd,1299,0.09%,Life & Health Insurance,HK,---,"$89,804,866.69","8,561,182"
,2636607,Newmont Corp,NEM,0.09%,Gold,US,---,"$88,919,525.98","809,758"
,2522096,Lockheed Martin Corp,LMT,0.09%,Aerospace & Defense,US,---,"$88,734,206.45","167,281"
,6591014,Mizuho Financial Group Inc,8411,0.09%,Diversified Banks,JP,---,"$88,121,517.97","1,960,610"
,0718875,Rio Tinto PLC,RIO,0.09%,Diversified Metals & Mining,GB,---,"$87,871,758.72","827,329"
,6773812,SAMSUNG ELECTRONICS-PREF,005935,0.09%,"Technology Hardware, Storage & Peripherals",KR,---,"$87,414,792.71","653,356"
,7309681,BNP Paribas SA,BNP,0.09%,Diversified Banks,FR,---,"$86,585,887.93","803,263"
,2008154,Adobe Inc,ADBE,0.09%,Application Software,US,---,"$86,575,621.58","333,998"
,2671501,Parker-Hannifin Corp,PH,0.09%,Industrial Machinery & Supplies & Components,US,---,"$86,260,372.64","102,128"
,5983816,Zurich Insurance Group AG,ZURN,0.09%,Multi-line Insurance,CH,---,"$85,685,302.72","120,660"
,2150204,Quanta Services Inc,PWR,0.09%,Construction & Engineering,US,---,"$85,414,717.30","120,010"
,6610403,Murata Manufacturing Co Ltd,6981,0.09%,Electronic Components,JP,---,"$85,055,871.59","1,350,422"
,2853688,Stryker Corp,SYK,0.09%,Health Care Equipment,US,---,"$84,970,310.81","278,509"
,BVLZX12,Equinix Inc,EQIX,0.09%,Data Center REITs,US,---,"$84,752,178.12","79,353"
,6596785,Mitsubishi Corp,8058,0.09%,Trading Companies & Distributors,JP,---,"$84,613,030.53","2,675,900"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.09%,Aerospace & Defense,US,---,"$84,001,235.75","325,271"
,4076836,Intesa Sanpaolo SpA,ISP,0.09%,Diversified Banks,IT,---,"$83,666,908.55","12,380,309"
,2302232,Cadence Design Systems Inc,CDNS,0.09%,Application Software,US,---,"$83,600,016.75","222,975"
,2170525,Canadian Imperial Bank of Commerce,CM,0.09%,Diversified Banks,CA,---,"$82,366,981.68","754,570"
,BN7SWP6,GSK PLC,GSK,0.08%,Pharmaceuticals,GB,---,"$82,178,777.91","3,249,892"
,2829601,Southern Co/The,SO,0.08%,Electric Utilities,US,---,"$81,673,663.75","887,275"
,BK9ZQ96,Trane Technologies PLC,TT,0.08%,Building Products,US,---,"$81,362,169.20","180,284"
,6490995,Keyence Corp,6861,0.08%,Electronic Equipment & Instruments,JP,---,"$80,421,662.95","160,032"
,2076281,Bank of Nova Scotia/The,BNS,0.08%,Diversified Banks,CA,---,"$79,939,910.29","996,286"
,2965839,CME Group Inc,CME,0.08%,Financial Exchanges & Data,US,---,"$79,795,174.02","291,713"
,6175203,DBS Group Holdings Ltd,DBS,0.08%,Diversified Banks,SG,---,"$79,050,220.25","1,604,825"
,2093666,Berkshire Hathaway Inc,BRK/A,0.08%,Multi-Sector Holdings,US,---,"$78,909,900.00",111
